Month,General Cargo (Short Tons),2010
January,Container,1182992
,Breakbulk,15563
,Total General Cargo,1198555
February,Container,1320745
,Breakbulk,18320
,Total General Cargo,1339065
March,Container,1406822
,Breakbulk,20324
,Total General Cargo,1427146
April,Container,1243767
,Breakbulk,14996
,Total General Cargo,1258763
May,Container,1322713
,Breakbulk,26337
,Total General Cargo,1349050
June,Container,1278371
,Breakbulk,22627
,Total General Cargo,1300998
July,Container,1209612
,Breakbulk,23425
,Total General Cargo,1233037
August,Container,1224728
,Breakbulk,23353
,Total General Cargo,1248081
September,Container,1121796
,Breakbulk,11957
,Total General Cargo,1133753
October,Container,1330334
,Breakbulk,33449
,Total General Cargo,1363783
November,Container,1303797
,Breakbulk,14393
,Total General Cargo,1318190
December,Container,1123171
,Breakbulk,29110
,Total General Cargo,1152281
